"","month","model","pred_type","value"
"1",1,"GFS","max_diff",0.415988121467574
"2",1,"NWS","max_diff",1.40785939968404
"3",2,"GFS","max_diff",0.99755279366476
"4",2,"NWS","max_diff",1.82090710305424
"5",3,"GFS","max_diff",1.24428510728702
"6",3,"NWS","max_diff",1.46997002054771
"7",4,"GFS","max_diff",0.64572838665759
"8",4,"NWS","max_diff",1.20947897297939
"9",5,"GFS","max_diff",0.425204494095929
"10",5,"NWS","max_diff",0.664164305949008
"11",6,"GFS","max_diff",0.406795617939062
"12",6,"NWS","max_diff",0.752940385778614
"13",7,"GFS","max_diff",-0.0556446225784904
"14",7,"NWS","max_diff",0.443317124457879
"15",8,"GFS","max_diff",-0.151398682464303
"16",8,"NWS","max_diff",0.590316435339815
"17",9,"GFS","max_diff",0.00986897932860393
"18",9,"NWS","max_diff",0.988590872698159
"19",10,"GFS","max_diff",-0.346383415698607
"20",10,"NWS","max_diff",0.968426800282649
"21",11,"GFS","max_diff",0.171908763505402
"22",11,"NWS","max_diff",1.37498862291799
"23",12,"GFS","max_diff",-0.448674806909592
"24",12,"NWS","max_diff",0.975565980012237
"25",1,"GFS","min_diff",-0.856930740492384
"26",1,"NWS","min_diff",-1.76642969984202
"27",2,"GFS","min_diff",-1.39950872561959
"28",2,"NWS","min_diff",-1.61878394582775
"29",3,"GFS","min_diff",-0.885691523263225
"30",3,"NWS","min_diff",-1.35695759086469
"31",4,"GFS","min_diff",-0.968158611300204
"32",4,"NWS","min_diff",-1.23760731099418
"33",5,"GFS","min_diff",-0.800208472580286
"34",5,"NWS","min_diff",-1.18594192634561
"35",6,"GFS","min_diff",-0.366150290996234
"36",6,"NWS","min_diff",-0.804422340211036
"37",7,"GFS","min_diff",-0.389311957247829
"38",7,"NWS","min_diff",-0.814850834538047
"39",8,"GFS","min_diff",-0.481244303736749
"40",8,"NWS","min_diff",-0.8648160518568
"41",9,"GFS","min_diff",-0.555132208682665
"42",9,"NWS","min_diff",-0.795476381104884
"43",10,"GFS","min_diff",-0.917792503690392
"44",10,"NWS","min_diff",-1.31724160082225
"45",11,"GFS","min_diff",-1.10163779797633
"46",11,"NWS","min_diff",-1.67051970510603
"47",12,"GFS","min_diff",-0.747283915008172
"48",12,"NWS","min_diff",-1.35145829084234
"49",1,"GFS","precip_correct",0.38368936999074
"50",1,"NWS","precip_correct",0.741627172195893
"51",2,"GFS","precip_correct",0.360280099721367
"52",2,"NWS","precip_correct",0.740071947520632
"53",3,"GFS","precip_correct",0.373709369024857
"54",3,"NWS","precip_correct",0.741940916899653
"55",4,"GFS","precip_correct",0.383934649421375
"56",4,"NWS","precip_correct",0.738537009929976
"57",5,"GFS","precip_correct",0.394697476049524
"58",5,"NWS","precip_correct",0.713810198300283
"59",6,"GFS","precip_correct",0.350838753851421
"60",6,"NWS","precip_correct",0.708817796894953
"61",7,"GFS","precip_correct",0.337950901803607
"62",7,"NWS","precip_correct",0.685950847680379
"63",8,"GFS","precip_correct",0.331318654962345
"64",8,"NWS","precip_correct",0.688438605606274
"65",9,"GFS","precip_correct",0.300838396524218
"66",9,"NWS","precip_correct",0.732746196957566
"67",10,"GFS","precip_correct",0.305179385148578
"68",10,"NWS","precip_correct",0.787434958566198
"69",11,"GFS","precip_correct",0.326084719602127
"70",11,"NWS","precip_correct",0.785064166742514
"71",12,"GFS","precip_correct",0.41925455885652
"72",12,"NWS","precip_correct",0.735304915357944
